# This is a continuation of trace file C:\!WorkingDirectory\1C_Sam_Rab\Project\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2025-09-18 23:04:41.452
| derived_data_executor_8 | 2025-09-18 23:04:41.452 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/XML_Sklad_Integration/src/Catalogs/Склады/ObjectModule.bsl, originally changed objects=null, resulting objects to update in infobase=[bm://XML_Sklad_Integration/Configuration#/, platform:/resource/XML_Sklad_Integration/src/Catalogs/Склады/ObjectModule.bsl#/0] |
| main | 2025-09-18 23:07:07.788 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 223 | Reevaluating supported platform installations |
| main | 2025-09-18 23:07:07.789 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 223 | Reevaluating registered platform installations |
| main | 2025-09-18 23:07:07.789 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Loaded list of platform installations from store: 1 total |
| derived_data_executor_6 | 2025-09-18 23:07:16.093 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/XML_Sklad_Integration/src/Documents/ПоступлениеТовараНаСклад/Forms/ФормаДокумента/Module.bsl |
| derived_data_executor_6 | 2025-09-18 23:07:16.094 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Determined infobase objects to be updated: changed file=L/XML_Sklad_Integration/src/Documents/ПоступлениеТовараНаСклад/Forms/ФормаДокумента/Module.bsl, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DocumentFormImpl@884624f, objects to update in infobase=[bm://XML_Sklad_Integration/Document.ПоступлениеТовараНаСклад#/forms:ФормаДокумента] |
| derived_data_executor_6 | 2025-09-18 23:07:16.094 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Adding configuration to update list to fix UUID changing issue for all projects without support information: bm://XML_Sklad_Integration/Configuration#/ |
| derived_data_executor_6 | 2025-09-18 23:07:16.094 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/XML_Sklad_Integration/src/Documents/ПоступлениеТовараНаСклад/Forms/ФормаДокумента/Module.bsl, originally changed objects=null, resulting objects to update in infobase=[bm://XML_Sklad_Integration/Document.ПоступлениеТовараНаСклад#/forms:ФормаДокумента, bm://XML_Sklad_Integration/Configuration#/] |
| main | 2025-09-18 23:07:37.426 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 223 | Reevaluating supported platform installations |
| main | 2025-09-18 23:07:37.427 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 223 | Reevaluating registered platform installations |
| main | 2025-09-18 23:07:37.427 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Loaded list of platform installations from store: 1 total |
